provider-name,street,city,state,country,number,website link,in this location
Senza Pelo MedSpa , 5702 N 19TH AVE, PHOENIX,Arizona, United States     ,(602) 246-1966,https://senzapelo.com,Gentle Pro ™  Series
Hello Laser Spa , 3142 E CAMELBACK RD, Phoenix,Arizona, United States     ,(480) 391-1071,https://WWW.HelloLaserSpa.com,"Gentle Pro ™  Series, PicoWay ®"
Delete - Tattoo Removal & Laser Salon , 6020 N 16TH ST, PHOENIX,Arizona, United States     ,(602) 343-6355,https://www.deleteitnow.com,Gentle Pro ™  Series
Simplicity Laser , 3200 E CAMELBACK RD STE 179, PHOENIX,Arizona, United States     ,"prim (800) 559-9138 , sec-801-372-7287",https://www.simplicitylaser.com/,Gentle Pro ™  Series
UTOPIA IMAGE LLC , 6520 N 7TH AVE STE 4, PHOENIX,Arizona, United States     ,(623) 210-7768,https://www.facebook.com/utopiaimageaz/,Gentle Pro ™  Series
"SMIDT, RIDGE ", 1626 South Edward Drive, Tempe,Arizona, United States     ,,,
Paradise Valley Dermatology , 12251 N 32ND ST STE 12, PHOENIX,Arizona, United States     ,(602) 971-0950,https://www.pvdermatology.net,"Vbeam ®  Perfecta, Gentle Pro ™  Series, PicoWay ®"
Aurora Laser Medical Spa , 5827 W INDIAN SCHOOL RD, PHOENIX,Arizona, United States     ,(602) 999-7891,,
Plush Laser LLC ," 6831 E 5TH AVE, STE 100", SCOTTSDALE,ARIZONA, United States     ,,,
AZ Laser Clinics , 5743 W GLENDALE AVE, GLENDALE,Arizona, United States     ,(623) 937-8969,https://www.azlaserclinic.net/,Gentle Pro ™  Series
SkinFix Studios , 4032 N MILLER RD STE 106/108, SCOTTSDALE,Arizona, United States     ,(602) 803-0228,https://www.skinfixstudios.com/about,Gentle Pro ™  Series
"NAFICY, K. MITCHELL, M.D.,INC. ", 9730 WILSHIRE BLVD STE 112, BEVERLY HILLS,California, United States     ,(949) 481-1250,http://www.naficymedicalgroup.com/,Gentle Pro ™  Series
Affordable Laser , 1969 E BROADWAY RD STE 4, TEMPE,Arizona, United States     ,(480) 655-1518,https://www.affordablelaser.com,Gentle Pro ™  Series
HEALTHY LIFE CORPORATION , 10240 W INDIAN SCHOOL RD, PHOENIX,Arizona, United States     ,(602) 319-1711,https://www.skinfitbysierra.com/,Gentle Pro ™  Series
New Image Med Spa , 4530 EAST MUIRWOOD DRIVE, PHOENIX,Arizona, United States     ,Visit Website,,
Arizona Dermatology , 4835 E CACTUS RD STE 155, SCOTTSDALE,Arizona, United States     ,(602) 277-1449,http://arizonaderm.com,Gentle Pro ™  Series
"Sun Pacific Capital, LLC ", 2157 E. Baseline Road Suite 101, Tempe,Arizona, United States     ,(480) 962-9494,,
Luminescence Day Spa , 40 S KYRENE RD STE 1, CHANDLER,Arizona, United States     ,(480) 785-1746,http://www.myluminescence.com/,Gentle Pro ™  Series
Simplicity Laser , 8415 N PIMA RD STE 255, SCOTTSDALE,Arizona, United States     ,"prim (800) 559-9138 , sec-801-372-7287",https://www.simplicitylaser.com/,Gentle Pro ™  Series
Serenity Womens Care , 10615 N HAYDEN RD # C100, SCOTTSDALE,Arizona, United States     ,(480) 825-7941,http://www.serenitywomenscare.com/,Gentle Pro ™  Series
Dr. Shaun Parson Plastic Surgery & Skin Center , 8901 E MOUNTAIN VIEW RD STE 118, SCOTTSDALE,Arizona, United States     ,(480) 652-9809,https://www.drparson.com,"Gentle Pro ™  Series, Exceed ™"
ARIZONA SKIN AND BODY INSTITUTE ," 2050 N. Dobson Road, Suite 1", CHANDLER,Arizona, United States     ,,,
J VERVE SALON & DAY SPA , 14202 N. Scottsdale Rd, Scottsdale,Arizona, United States     ,,,
SkinSpirit , 15425 N SCOTTSDALE RD, SCOTTSDALE,ARIZONA, United States     ,(650) 324-3800,https://www.skinspirit.com,Gentle Pro ™  Series
Elite Laser Care , 16613 N 68TH WAY, Scottsdale,Arizona, United States     ,(602) 923-3155,https://www.elitelasercare.com/,Gentle Pro ™  Series
Ideal Image , 16447 N SCOTTSDALE RD STE 115, SCOTTSDALE,Arizona, United States     ,(860) 248-0065,https://www.idealimage.com,Gentle Pro ™  Series
Hello Laser Spa , 9301 E SHEA BLVD STE 106, SCOTTSDALE,Arizona, United States     ,(480) 391-1071,https://WWW.HelloLaserSpa.com,Gentle Pro ™  Series
"Alaska Center for Dermatology, PC ", 3841 PIPER ST STE T4-020, ANCHORAGE,Alaska, United States     ,(907) 646-8500,,
Joint Base Elmendorf-Richardson ," FM5000 673 MDSS SGSM5955 Zeamer Ave", Anchorage,Alaska, United States     ,(907) 580-2538,,
Joint Base Elmendorf-Richardson , 5955 Ziamer Avenue Fm5000-Medlog Keith Stolberg, Anchorage,Alaska, United States     ,(907) 580-2538,,
Face & Body Concept , 175 SW 7TH ST STE 1109, MIAMI,Florida, United States     ,(786) 472-6262,https://fbconcept.net,"VelaShape ® , Gentle Pro ™  Series"
LEXINGTON PLASTIC SURGEONS ," 175 SW 7TH STREETSUITE 1710", MIAMI,Florida, United States     ,(305) 704-7047,,
Solea Medical Spa & Beauty Lounge , 701 S MIAMI AVE, MIAMI,Florida, United States     ,(305) 932-2555,https://www.soleabeautylounge.com,Gentle Pro ™  Series
No Filter Medspa , 829 SW 1ST AVE, MIAMI,FLORIDA, United States     ,(203) 887-4684,,
BeautyFix Medspa , 25 SW 9TH ST, MIAMI,FLORIDA, United States     ,,,
SEV , 1180 SW 2ND AVE, MIAMI,Florida, United States     ,(818) 956-9913,http://sevlaser.com/,Gentle Pro ™  Series
Waxmee Salon & Spa , 1759 SW 3RD AVE, MIAMI,Florida, United States     ,(305) 856-4082,http://www.waxmee.com/,Gentle Pro ™  Series
Skin Spa New York -Brickell , 1155 BRICKELL BAY DR, MIAMI,FLORIDA, United States     ,,,
Caruna Med Spa & Wellness Center , 1800 SW 1ST AVE STE 103, MIAMI,Florida, United States     ,(305) 456-9336,https://carunamedspa.com,"VelaShape ® , Gentle Pro ™  Series"
Brickell Cosmetic Center , 2730 SW 3RD AVE STE 100, MIAMI,Florida, United States     ,(305) 456-6001,https://www.brickellcosmetic.com,"Gentle Pro ™  Series, CO2RE ® , VelaShape ®"
Ideal Image , 3252 NE BUENA VISTA BLVD STE 112, MIAMI,Florida, United States     ,(860) 248-0065,https://www.idealimage.com,Gentle Pro ™  Series
ARVIV Medical Aesthetics , 3250 NE 1ST AVE APT 504, Miami,Florida, United States     ,(813) 855-0111,https://arvivaesthetics.com/,"Gentle Pro ™  Series, CO2RE ® , Exceed ™ , PicoWay ®"
Riverchase Dermatology / Aqua Dermatology  Miami , 3659 S MIAMI AVE STE 6008, MIAMI,Florida, United States     ,(305) 856-6555,https://www.bowesdermatology.com,"Gentle Pro ™  Series, VelaShape ® , Exceed ™ , PicoWay ®"
Rebeca Martinez MD , 3661 S. Miami Ave. Suite 710, Miami,Florida, United States     ,(786) 853-5716,http://miamilaseraesthetics.com,"VelaShape ® , Gentle Pro ™  Series"
Beiamed Brows & Lashes , 2253 CORAL WAY, MIAMI,Florida, United States     ,(305) 909-9210,https://www.beiamed.com,Gentle Pro ™  Series
Skin and Cancer Associates Baumann Cosmetic and Research institute , 4500 BISCAYNE BLVD STE 101, MIAMI,Florida, United States     ,(305) 532-5552,https://www.derm.net,"Gentle Pro ™  Series, CO2RE ® , Vbeam ®  Perfecta, VelaShape ®"
"Alicia Barba, MD ", 4770 BISCAYNE BLVD STE 1140, MIAMI,Florida, United States     ,(305) 573-7200,http://barbadermatology.com/,Gentle Pro ™  Series
Image Maker Medical Aesthetics , 3014 CORAL WAY STE CU7, MIAMI,Florida, United States     ,(305) 529-9975,http://www.imagemaker2002.com,Gentle Pro ™  Series
Miracle Laser & Skin Care Institute , 3181 Coral Way Suite 302, MIAMI,Florida, United States     ,(305) 860-1220,http://www.miracleinstitute.net/,Gentle Pro ™  Series
Flawless Icon Coral Gables , 34 SW 37 Avenue, MIAMI,FLORIDA, United States     ,(813) 389-9104,,
VIO Med Spa Miami Beach , 1800 BAY RD STE 102, MIAMI BEACH,FLORIDA, United States     ,(305) 763-8330,,
EDEN Apotheke , 1060 ALTON RD, MIAMI BEACH,FLORIDA, United States     ,,,
Skin Spa New York -Miami Beach , 1212 LINCOLN RD, MIAMI BEACH,FLORIDA, United States     ,(646) 644-8191,,
LUCY ALBURY , 3374 Coral Way, Miami,Florida, United States     ,,,
Chadia Ali MedSpa & Aesthetics , 1107 5TH ST, MIAMI BEACH,FLORIDA, United States     ,(305) 304-5553,,
Albert Canas M.D. & Associates , 1680 MICHIGAN AVE STE 901, MIAMI BEACH,Florida, United States     ,(305) 534-0565,https://www.albertcanasmd.com,"Exceed ™ , Gentle Pro ™  Series"
Tao Spa Group , 726 6TH ST, MIAMI BEACH,FLORIDA, United States     ,(786) 216-7200,,
Acra Medical Aesthetics , 43 MERRICK WAY, CORAL GABLES,Florida, United States     ,(305) 774-1116,http://www.acramedical.com/,"Gentle Pro ™  Series, Matrix ™ , PicoWay ®"
Karen Paba Corporation , 1600 PONCE DE LEON BLVD # F, CORAL GABLES,Florida, United States     ,(786) 660-0538,,
FIGAROLA MEDICAL AESTHETIC , 351 NW 42 AVE #315, MIAMI,Florida, United States     ,(305) 644-2212,,
Maria A. Valdivia MD PA (CLOSED) ," 10 NW 42ND AVE,SUITE 600,,", MIAMI,Florida, United States     ,(305) 644-0977,,
Elite Body Sculpting , 2020 PONCE DE LEON BLVD STE 105, CORAL GABLES,Florida, United States     ,(305) 640-5602,http://www.ebsculpting.com/,Gentle Pro ™  Series
"MIRACLE C.T., LLC ", 155 Miracle Mile, Coral Gables,Florida, United States     ,,,
Med Aesthetics Miami LLC , 2627 NE 203RD ST STE 215, AVENTURA,FLORIDA, United States     ,(305) 356-7402,http://www.medaestheticsmiami.com,Gentle Pro ™  Series
Skn Elements , 7295 NW 2ND AVE, MIAMI,Florida, United States     ,,,
Sweet Skin by Gaby , 250 CATALONIA AVE STE 303, CORAL GABLES,FLORIDA, United States     ,3054797905,https://sweetskinbygaby.com,Gentle Pro ™  Series
DermCare Management LLC , 4302 ALTON RD STE 705, MIAMI BEACH,FLORIDA, United States     ,(954) 456-5050,https://aventuradermatology.com/,Gentle Pro ™  Series
Sanctum MedSpa (CLOSED) , 357 Almeria Avenue Suite #102, Coral Gables,Florida, United States     ,(305) 443-7748,https://www.shapesmdspa.com,Gentle Pro ™  Series
Body Details LLC , 3309 PONCE DE LEON BLVD, Coral Gables,Florida, United States     ,(561) 990-9312,https://www.bodydetails.com,Gentle Pro ™  Series
"Bay Pointe Dermatology & Cosmetic Center, P.A. ", 3850 BIRD RD STE 104, MIAMI,Florida, United States     ,(305) 669-8337,https://drjanicelimamaribona.com,"Matrix ™ , Vbeam ®  Perfecta, Exceed ™ , Gentle Pro ™  Series"
Flawless Icon Miami , 22 NE 79TH ST, MIAMI,Florida, United States     ,(305) 631-2986,https://flawlessicon.com/,Gentle Pro ™  Series
"L.G. Diagnostic, Inc ", 5040 NW 7TH ST STE 714, MIAMI,Florida, United States     ,(305) 267-4414,https://LGDIAGNOSTIC.COM,"Gentle Pro ™  Series, VelaShape ®"
Body Details LLC , 301 ALTARA AVE STE 101, Coral Gables,Florida, United States     ,(561) 990-9312,https://www.bodydetails.com,Gentle Pro ™  Series
Dr. Jaclyn Ferro , 370 ALTARA AVE, Coral Gables,Florida, United States     ,305-205-4242,https://me.com,"CO2RE ® , Gentle Pro ™  Series"
Aesthetic Laser Rentals , 400 W 41ST ST, MIAMI BEACH,FLORIDA, United States     ,(440) 318-4139,,
Ideal Image , 330 SAN LORENZO AVE STE 2345, CORAL GABLES,Florida, United States     ,(860) 248-0065,https://www.idealimage.com,Gentle Pro ™  Series
"Spyros Laser MedSpa, LLC ", 5790 Sw 40 Street, Miami,Florida, United States     ,(305) 663-8844,https://www.spyroslasermedspa.com,Gentle Pro ™  Series
Miami Dermatology Center , 580 CRANDON BLVD STE 101, KEY BISCAYNE,Florida, United States     ,(305) 361-8200,https://www.miamidermatologycenter.com,"Matrix ™ , Gentle Pro ™  Series"
DermCare Management LLC , 1230 S DIXIE HWY, CORAL GABLES,FLORIDA, United States     ,(954) 456-5050,https://aventuradermatology.com/,Gentle Pro ™  Series
Dr. Jhonny Salomon Plastic Surgery & Med Spa , 6705 S RED RD STE 708, SOUTH MIAMI,Florida, United States     ,(305) 270-1361,https://www.drjsalomon.com,Gentle Pro ™  Series
Marquis Plastic Surgery , 6705 SW 57TH AVE STE 516, SOUTH MIAMI,Florida, United States     ,(305) 403-2922,https://www.arthurmd.com,Gentle Pro ™  Series
Mayoral Dermatology , 6705 S RED RD STE 314, SOUTH MIAMI,Florida, United States     ,(305) 665-6166,https://www.MayoralDerm.com,"Vbeam ®  Prima, Gentle Pro ™  Series"
Dr. Mariela Cogorno , 6705 RED RD, Coral Gables,Florida, United States     ,(786) 327-3335,https://cogornomd.com,"Gentle Pro ™  Series, Nordlys ™ , Vbeam ®  Perfecta, PicoWay ®"
Proesens Medspa , 7222 SW 57TH AVE, SOUTH MIAMI,FLORIDA, United States     ,(630) 229-9876,https://nexgenlabs.org,Gentle Pro ™  Series
Semper Laser , 1900 PRESTON RD STE 281, PLANO,Texas, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
Semper Laser , 3041 BUTTERFIELD RD STE E112, OAK BROOK,Illinois, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
Semper Laser , 5204 BRIDGE ST STE 101, TAMPA,Florida, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
Semper Laser , 11811 PRESTON RD STE 101, DALLAS,Texas, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
Semper Laser , 1745 PEACHTREE ST NE STE M, ATLANTA,Georgia, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
Semper Laser , 25 WATERWAY AVE # A-150, The Woodlands,Texas, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
Semper Laser , 2906 N ASHLAND AVE STE 3, CHICAGO,Illinois, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
Semper Laser , 900 CHURCH ST, EVANSTON,Illinois, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
Semper Laser , 5740 SUNSET DR, SOUTH MIAMI,Florida, United States     ,(786) 578-3255,https://semperlaser.com,Gentle Pro ™  Series
